id_cliente,nome,cpf,data_nascimento,renda_mensal,regiao
1,Kaique Novaes,127.435.896-55,2004-09-29,8116.26,Sul
2,Nicole Farias,170.946.583-20,1960-07-04,4485.26,Sul
3,Dr. Henrique Costela,756.801.293-02,1969-08-10,12340.15,Nordeste
4,Raquel Costa,961.730.458-93,1986-09-07,3963.9,Centro-Oeste
5,Augusto Mendonça,359.871.406-84,1989-01-20,9725.73,Sul
6,Cecília Mendonça,410.782.965-02,1961-06-07,12421.19,Centro-Oeste
7,Dr. Anthony Gabriel Moreira,640.283.157-35,1998-01-28,1391.11,Nordeste
8,Sara da Costa,724.561.903-43,1996-12-04,14717.98,Nordeste
9,Anna Liz Borges,953.271.806-03,2005-11-01,4454.67,Sul
10,Valentim Aparecida,371.560.249-06,1998-10-14,12732.15,Nordeste
11,Luiz Fernando da Luz,439.157.862-09,1950-07-02,10970.37,Sudeste
12,Maria Clara Gonçalves,184.372.906-78,1956-11-28,1438.19,Centro-Oeste
13,Dr. Daniel Pires,938.547.021-32,1978-10-05,12625.2,Nordeste
14,Gabrielly Farias,193.587.042-41,1951-09-01,1886.65,Sudeste
15,Isabela Ferreira,064.238.915-24,1960-03-14,7960.88,Centro-Oeste
16,Miguel Leão,548.609.237-74,1951-10-25,8266.78,Sudeste
17,Bianca da Rocha,147.230.569-80,1980-06-29,12255.88,Centro-Oeste
18,Valentim Macedo,698.204.137-96,1953-03-01,17338.87,Sul
19,Sra. Emanuella Cirino,765.428.031-90,2001-08-18,9559.49,Nordeste
20,Maria Fernanda Rocha,581.230.764-44,1963-03-15,19028.83,Sudeste
21,João Gabriel da Mata,754.816.023-26,1994-06-16,11702.48,Nordeste
22,Marcelo Moraes,485.739.216-09,1976-05-06,6787.66,Sul
23,Ian da Rocha,509.421.678-30,1968-02-06,5386.98,Sudeste
24,Lara Melo,960.473.258-74,1990-01-12,9362.9,Sudeste
25,Sra. Isabela Cassiano,812.754.936-37,1946-07-31,10408.36,Centro-Oeste
26,Valentim Gomes,904.632.157-61,1956-06-25,18277.09,Sudeste
27,Dr. Murilo Freitas,326.704.158-90,1971-07-19,4462.49,Sudeste
28,Luara Ribeiro,462.315.908-60,2005-08-04,6922.51,Nordeste
29,Zoe Montenegro,472.583.901-97,1947-06-30,11786.31,Sul
30,Ryan Monteiro,645.203.781-17,1994-12-20,19422.11,Nordeste
31,Joaquim Pires,380.917.254-50,1974-04-13,9545.33,Nordeste
32,Dra. Cecília Pereira,426.301.579-70,1952-04-06,18001.72,Sudeste
33,Julia da Cunha,023.715.869-86,2001-07-02,1859.32,Sul
34,José Farias,319.824.057-32,1962-07-02,8384.87,Nordeste
35,Dr. Otto Porto,596.372.081-86,1949-08-07,11254.15,Nordeste
36,Srta. Pietra Jesus,587.632.041-26,1994-04-22,19339.85,Sudeste
37,Clarice Vieira,719.325.468-55,1972-01-08,11311.23,Norte
38,Nicole das Neves,124.986.305-89,1948-09-26,6629.2,Sul
39,Dr. Rael Vasconcelos,065.329.418-24,1992-10-25,2416.46,Norte
40,Pietro Cassiano,901.357.864-01,1985-04-17,15672.65,Sudeste
41,Kamilly Cavalcante,503.671.492-06,1989-01-21,6576.28,Centro-Oeste
42,Olívia Freitas,319.750.264-70,1990-08-29,4778.01,Centro-Oeste
43,Elisa Melo,657.483.901-75,2002-08-25,16013.34,Centro-Oeste
44,Eduardo Vargas,516.403.982-60,1951-03-23,2406.85,Nordeste
45,Dr. João Pedro Cirino,254.039.178-88,1952-02-13,3201.51,Norte
46,Isabela Cunha,320.458.169-15,1948-04-03,12842.66,Nordeste
47,Zoe Castro,829.306.715-21,1952-07-26,2812.79,Sul
48,Sarah Fogaça,280.157.693-02,1986-06-13,14862.52,Centro-Oeste
49,Letícia Cirino,651.402.893-42,1968-10-19,11663.63,Centro-Oeste
50,Valentina Viana,485.307.962-92,1996-09-28,3272.29,Centro-Oeste
51,Sara Castro,837.459.620-10,1969-03-06,15454.92,Nordeste
52,Srta. Gabrielly Santos,819.645.370-10,2003-10-16,5483.71,Centro-Oeste
