id_cliente,nome,cpf,data_nascimento,renda_mensal,regiao,data_carga
1,Kaique Novaes,12743589655,2004-09-29,8116.26,SUL,2025-03-28 18:36:55
2,Nicole Farias,17094658320,1960-07-04,4485.26,SUL,2025-03-28 18:36:55
3,Dr. Henrique Costela,75680129302,1969-08-10,12340.15,NORDESTE,2025-03-28 18:36:55
4,Raquel Costa,96173045893,1986-09-07,3963.9,CENTRO-OESTE,2025-03-28 18:36:55
5,Augusto Mendonça,35987140684,1989-01-20,9725.73,SUL,2025-03-28 18:36:55
6,Cecília Mendonça,41078296502,1961-06-07,12421.19,CENTRO-OESTE,2025-03-28 18:36:55
7,Dr. Anthony Gabriel Moreira,64028315735,1998-01-28,1391.11,NORDESTE,2025-03-28 18:36:55
8,Sara Da Costa,72456190343,1996-12-04,14717.98,NORDESTE,2025-03-28 18:36:55
9,Anna Liz Borges,95327180603,2005-11-01,4454.67,SUL,2025-03-28 18:36:55
10,Valentim Aparecida,37156024906,1998-10-14,12732.15,NORDESTE,2025-03-28 18:36:55
11,Luiz Fernando Da Luz,43915786209,1950-07-02,10970.37,SUDESTE,2025-03-28 18:36:55
12,Maria Clara Gonçalves,18437290678,1956-11-28,1438.19,CENTRO-OESTE,2025-03-28 18:36:55
13,Dr. Daniel Pires,93854702132,1978-10-05,12625.2,NORDESTE,2025-03-28 18:36:55
14,Gabrielly Farias,19358704241,1951-09-01,1886.65,SUDESTE,2025-03-28 18:36:55
15,Isabela Ferreira,6423891524,1960-03-14,7960.88,CENTRO-OESTE,2025-03-28 18:36:55
16,Miguel Leão,54860923774,1951-10-25,8266.78,SUDESTE,2025-03-28 18:36:55
17,Bianca Da Rocha,14723056980,1980-06-29,12255.88,CENTRO-OESTE,2025-03-28 18:36:55
18,Valentim Macedo,69820413796,1953-03-01,17338.87,SUL,2025-03-28 18:36:55
19,Sra. Emanuella Cirino,76542803190,2001-08-18,9559.49,NORDESTE,2025-03-28 18:36:55
20,Maria Fernanda Rocha,58123076444,1963-03-15,19028.83,SUDESTE,2025-03-28 18:36:55
21,João Gabriel Da Mata,75481602326,1994-06-16,11702.48,NORDESTE,2025-03-28 18:36:55
22,Marcelo Moraes,48573921609,1976-05-06,6787.66,SUL,2025-03-28 18:36:55
23,Ian Da Rocha,50942167830,1968-02-06,5386.98,SUDESTE,2025-03-28 18:36:55
24,Lara Melo,96047325874,1990-01-12,9362.9,SUDESTE,2025-03-28 18:36:55
25,Sra. Isabela Cassiano,81275493637,1946-07-31,10408.36,CENTRO-OESTE,2025-03-28 18:36:55
26,Valentim Gomes,90463215761,1956-06-25,18277.09,SUDESTE,2025-03-28 18:36:55
